1555965,/auteur/Kim-Stanley-Robinson/8282,Le Ministère du futur,"L'auteur de science-fiction légendaire Kim Stanley Robinson nous propose une vision du changement climatique pareille à nulle autre.
Établi en 2025, l'objectif de la nouvelle organisation était simple : plaider pour les générations à venir du monde et protéger toutes les créatures vivantes, présentes et futures. Il fut vite surnommé « le Ministère du Futur ».
Raconté entièrement sous forme des témoignages directs de ses personnages, Le Ministèr",3.68,170,"[1512811, 1402533, 1475297, 1561886, 1406667]","[' littérature générale  ', ' Romans et nouvelles de genre  ', ' roman  ', ' anticipation  ', ' dystopie  ', ' fiction  ', ' société  ', ' scientifique  ', ' littérature  ', ' climat  ', ' cli-fi  ', ' science-fiction  ', ' imaginaire  ', ' politique  ', ' science  ', ' rechauffement climatique  ', ' écologie  ', ' littérature étrangère  ', ' états-unis  ', ' littérature américaine  ', 'science-fiction', 'Voir plus', 'science-fiction']"
1572083,/auteur/Isabelle-Astier/459718,Les utopiennes : Des nouvelles de 2043,"Les utopies daujourdhui sont les évidences de demain.
Vingt ans se sont écoulés et nos utopies sont advenues. Depuis le futur, les Utopien·nes nous racontent leur vie : comment elles et ils habitent le monde ; leur organisation économique, politique, sociale, amoureuse ; les clés qui ont permis la bascule vers ce monde nouveau À travers des nouvelles, des interviews, une bande dessinée, un poème, des photos, les Utopien·nes vous invitent>Voir plus",4.5,4,"[1154867, 1249667, 1406667, 1337634, 1302319]","[' littérature générale  ', ' roman  ', ' nouvelles  ', ' cli-fi  ', ' utopie  ', 'utopie', 'Voir plus', 'littérature française', 'littérature russe']"
1120592,/auteur/Guillaume-Desgeorge/501592,"La tête dans les nuages, tome 1 : Jéricho","A la fin du 21ème siècle, les hommes vivent dans de grandes métropoles et passent une grande partie de leur temps dans des mondes virtuels. Les nations, elles, se disputent la ressource la plus rare de la planète : leau potable.
Dans ce monde aride, Ange, mène une vie heureuse. Journaliste en herbe et future épouse de Paul, promu à un brillant avenir dans la Compagnie délite du gouvernement, tout semble sourire à la jeune femme.
Un jour, alors quell",4.55,11,"[1453510, 835150, 355141, 1372169, 1272514]","[' littérature générale  ', ' Romans et nouvelles de genre  ', ' anticipation  ', ' post-apocalyptique  ', ' Dystopie et Uchronie  ', ' futuriste  ', ' cli-fi  ', ' science-fiction  ', 'cli-fi', 'Voir plus', 'science-fiction']"
1322182,/auteur/Corinne-Morel-Darleux/232947,Là où le feu et l'ours,"Histoire de Violette.
Là où le feu et lours. Histoire de Violette est le récit de la rencontre dune jeune femme et dun ours nouveau-né. Leur périple, dans une steppe parcourue de vents de feu, les mènera jusquà lOasis, un lieu foisonnant
qui leur réserve bien des surprises
Là où le feu et lours. Histoire de Violette est le premier roman de Corinne Morel Darleux, autrice de lessai politique et littéraire Plutôt couler en b",4.02,23,"[838011, 1087011, 608585, 1050214, 1411355]","[' littérature générale  ', ' roman  ', ' jeunesse  ', ' littérature jeunesse  ', ' littérature pour adolescents  ', ' nature  ', ' ours  ', ' cli-fi  ', ' politique  ', ' écologie  ', ' animaux  ', ' littérature française  ', 'écologie', 'Voir plus', 'culture générale', 'littérature', 'écrivain', 'roman', 'politique']"
1176769,/auteur/Jean-Marc-Ligny/8480,Alliances,"Alliances traite, au XXIVe siècle, bien après la dévastation due au réchauffement climatique, des relations équivoques et complexes que certains humains entretiennent avec des animaux : Fourmites, corneilles, serpents, chiens... et des alliances qu'ils pourraient passer avec eux. Y sont abordés les thèmes de la communication interespèces, la place devenue secondaire (et dispensable) de l'homme dans le nouvel écosystème généré par le changement climatique, et l'émerg",4.01,48,"[1307294, 1074518, 679896, 1489241, 865505]","[' roman  ', ' anticipation  ', ' dystopie  ', ' littérature jeunesse  ', ' jeune adulte  ', ' cli-fi  ', ' post-apocalyptique  ', ' forêts  ', ' catastrophe nucléaire  ', ' société  ', ' désert  ', ' nucléaire  ', ' climat  ', ' survie  ', ' sfff  ', ' science-fiction française  ', ' science-fiction  ', ' écologie  ', ' animaux  ', ' littérature française  ', 'science-fiction', 'Voir plus']"
1310871,/auteur/Kim-Stanley-Robinson/8282,Lisière du Pacifique,"Dans un monde qui travaille a redécouvrir l'harmonie avec la nature, la petite ville d'El Modena, en Californie, prend l'aspect d'une utopie sociale et écologique. Pourtant, Kevin Claiborne, jeune architecte et constructeur qui a grandit dans ce monde plus vert, se trouve impliqué dans une lutte afin de préserver la vie équilibrée de sa communauté, contre les tentations d'exploitation et de corruption.
Entre polar, projection politique et science-fict",3.52,23,"[1074518, 1185817, 1382317, 1266988, 1342699]","[' littérature générale  ', ' Romans et nouvelles de genre  ', ' fantasy  ', ' rouge  ', ' utopie  ', ' cli-fi  ', ' science-fiction anticipation  ', ' sfff  ', ' science-fiction  ', ' imaginaire  ', ' écologie  ', ' littérature américaine  ', ' Californie (États-Unis)  ', 'science-fiction', 'Voir plus', 'science-fiction']"
1572435,/auteur/George-Turner/363490,L'été et la mer,"Dans un avenir de plus en plus proche de nous, LÉté et la mer, est une uvre à nulle autre pareil, qui décrit avec acuité la vanité et l'aveuglement du système capitaliste, seul responsable du désastre climatique. 
Francis Conway est un Stable. Sur une population de près de dix milliards d'habitants, il fait partie des chanceux... jusqu'au jour où son père se suicide après avoir perdu son emploi. Sa famille déménage alors aux abords du territoire Sou",4.21,14,"[1561886, 1436674, 1572434, 1263358, 1539335]","[' littérature générale  ', ' Romans et nouvelles de genre  ', ' roman historique  ', ' post-apocalyptique  ', ' cli-fi  ', ' sfff  ', ' science-fiction  ', ' littérature australienne  ', ' espagnol  ', 'science-fiction', 'Voir plus', 'science-fiction']"
981595,/auteur/Meg-Little-Reilly/465928,Les tempêtes,"Fuir ou ne pas fuir ? Radioscopie dun couple en veille de tempête.
Ash et Pia ont choisi de mener une vie différente. Quitter leur petit confort de Brooklyn, ce quotidien de trentenaires arty. Acheter une jolie maison dans le Vermont. Rêver ensemble à de nouveaux projets devant des paysages à couper le souffle.
Mais leur greendream sannonce de courte durée, menacé par lannonce « des Tempêtes », un événement climatique sans précédent. Face à ",3.77,15,"[965239, 1111056, 963552, 956835, 956725]","[' roman  ', ' cli-fi  ', ' climat  ', ' solidarité  ', ' tempête  ', ' post-apocalyptique  ', ' vermont  ', ' couple  ', ' littérature américaine  ', 'vermont', 'Voir plus', 'auteur américain', 'littérature américaine', 'états-unis']"
350217,/auteur/Yann-Quero/213581,Le Procès de l'Homme Blanc,"Présentation de l'éditeur
Année 2143 : le réchauffement climatique a provoqué l'arrêt du Gulf Stream et plongé l'hémisphère Nord sous la glace. Au coeur de ce qui reste de l'Asie, dans un univers de survivants, le Président de la République de Singapour, ultime puissance mondiale vacillante, s'efforce de réunir les communautés rescapées du Tiers-Monde, afin d'organiser le grand Procès de l'Homme Blanc, considéré comme le responsable de la catastrophe",3.75,4,"[713695, 462210, 1305342, 1590171, 1185829]","[' pratique  ', ' tourisme  ', ' cli-fi  ', ' science-fiction  ', 'cli-fi', 'Voir plus', 'science-fiction']"
699997,/auteur/Mack-Reynolds/91051,Les gaspilleurs,"Paul Kosloff est lun des meilleurs agents secrets au service des États-Unis. Sa réputation et son efficacité sont aussi grandes que sa soif den découdre avec le Grand Ennemi communiste. La Guerre froide bat son plein mais la perception du jeu a changé : désormais, il est évident que le capitalisme à laméricaine et léconomie centralisée à la soviétique ont beaucoup en commun. Aussi, doit-on calmer les ardeurs du fameux Kosloff...
On lui confie alors une mi",3.61,14,"[784637, 704066, 633443, 1454474, 693690]","[' littérature générale  ', ' Romans et nouvelles de genre  ', ' nouvelles  ', ' cli-fi  ', ' science-fiction  ', 'science-fiction', 'Voir plus', 'science-fiction']"
